uuid,Skills Power,Health,Max Health,Play Time,Money,Job,Groups,Mobs,Name,money,job,mame,skills_power,max_health,health,groups,play_time,name,online
ea31502a-1422-364a-8559-4c2018b64851,,,,,$1.56k," - ",,,WarForPlay,0.0," - ",WarForPlay,,,,,,WarForPlay,no
9fdb8d17-6385-3447-bf45-06897bdeca35,,,,,$100," - ",,,whitelist_check,0.0," - ",whitelist_check,,,,,,whitelist_check,no
d2ef406d-dd49-3121-9c99-c733df5c9ee5,,,,,$100.89," - ",,,miguelpowerM,0.0," - ",miguelpowerM,,,,,,miguelpowerM,no
b7413f19-6784-3ef2-9e94-a58ae649f139,,,,,$189.03," - ",,,COMETA157,0.0," - ",COMETA157,,,,,,COMETA157,no
900e065b-9866-3932-88ee-9ac0de85e6ec,,,,,$107.63," - ",,,pedrogamerbr,0.0," - ",pedrogamerbr,,,,,,pedrogamerbr,no
a0aac6dc-e710-33e3-bcd2-02afedbaf58a,,,,,$100," - ",,,laorv,0.0," - ",laorv,,,,,,laorv,no
1e5be3aa-2c68-3328-8c80-634fcfe7da4c,,,,,$185.78," - ",,,iNetwork,0.0," - ",iNetwork,,,,,,iNetwork,no
7dee2b29-9f6f-308a-a69c-c2d3c07e4b03,,,,,$0," - ",,,HasashiXx,0.0," - ",HasashiXx,,,,,,HasashiXx,no
c1064f17-c896-3523-87bc-a202a3844587,,,,,$122.41," - ",,,Anti__,0.0," - ",Anti__,,,,,,Anti__,no
0e96b57d-67b7-335c-a35b-3b93c6f4ea5a,,,,,$499.67," - ",,,Juh_STK,0.0," - ",Juh_STK,,,,,,Juh_STK,no
1e1d7b69-d001-3b5b-b792-76fe7b784100,,,,,$418.04," - ",,,Netin123,0.0," - ",Netin123,,,,,,Netin123,no
f7f9b239-d64c-3ab7-b3e0-8338bcb6f97c,,,,,$100," - ",,,Winivin,0.0," - ",Winivin,,,,,,Winivin,no
c2f526f4-bce8-3e2b-9281-4b3a06236ce8,,,,,$275.13," - ",,,theuxz,0.0," - ",theuxz,,,,,,theuxz,no
ae8323bb-09a3-39f6-a238-b549e23c9781,0,20.399999618530273,20.399999618530273,1h 31m 14s,$0," - ",default,1,Damon_f,0.0," - ",Damon_f,,,,,,Damon_f,no
45a2e449-e7a0-34d1-8af8-aa4acab042f2,,,,,$79.23," - ",,,Carioca0631,0.0," - ",Carioca0631,,,,,,Carioca0631,no
aef6ed4c-2b16-3a20-9d6f-a34db92ee037,,,,,$619.12," - ",,,the_japatsu,0.0," - ",the_japatsu,,,,,,the_japatsu,no
b59cfa5e-8cb1-3f6b-b31c-cf78f8fcc7e0,,,,,$897.54," - ",,,PPANQ_YT,0.0," - ",PPANQ_YT,,,,,,PPANQ_YT,no
5e28b904-e94d-3fde-993c-37621b0b68f5,,,,,$100," - ",,,Gabrielbaby21,0.0," - ",Gabrielbaby21,,,,,,Gabrielbaby21,no
1d4a4b58-2335-3ba2-aa16-7449b9bd516b,,,,,$100," - ",,,zKeN__,0.0," - ",zKeN__,,,,,,zKeN__,no
1bf2e829-b01b-3058-af26-fd56f71f23f1,,,,,$103.92," - ",,,GAGAGAsemdedo,0.0," - ",GAGAGAsemdedo,,,,,,GAGAGAsemdedo,no
36000ecc-cb9e-3d18-a201-4f9e4b57899c,,,,,$160.24," - ",,,Manfredi0310,0.0," - ",Manfredi0310,,,,,,Manfredi0310,no
